Wall time,Step,Value
1680530707.8057315,675,4.0
1680530708.9565609,676,4.0
1680530718.088195,684,4.0
1680530727.1930647,692,4.0
1680530729.4923966,694,4.0
1680530747.6899035,710,4.0
1680530760.2024555,721,4.0
1680530762.5025585,723,4.0
1680530764.7642517,725,4.0
1680530765.9031253,726,4.0
1680530768.1403804,728,4.0
1680530769.262594,729,4.0
1680530771.5465593,731,4.0
1680530772.704338,732,4.0
1680530773.8477914,733,4.0
1680530779.5749922,738,4.0
1680530786.42841,744,4.0
1680530809.0994053,764,4.0
1680530818.1327882,772,4.0
1680530821.550018,775,4.0
1680530822.7167475,776,4.0
1680530824.975677,778,4.0
1680530827.2530591,780,4.0
1680530829.5132499,782,4.0
1680530836.3157315,788,4.0
1680530854.507607,804,4.0
1680530855.6645575,805,4.0
1680530857.9596002,807,4.0
1680530861.3490326,810,4.0
1680530870.3839912,818,4.0
1680530871.5223227,819,4.0
1680530881.789859,828,4.0
1680530886.3864207,832,4.0
1680530895.4517841,840,4.0
1680530898.9101202,843,4.0
1680530901.1731005,845,4.0
1680530914.7121558,857,4.0
1680530920.3735235,862,4.0
1680530924.947794,866,4.0
1680530930.6123967,871,4.0
1680530945.34469,884,4.0
1680530947.6582,886,4.0
1680530954.4706788,892,4.0
1680530957.8362558,895,4.0
1680530960.0862546,897,4.0
1680530964.6175413,901,4.0
1680530965.7614717,902,4.0
1680530972.5762973,908,4.0
1680530995.365755,928,4.0
1680530997.69541,930,4.0
1680530999.9637005,932,4.0
1680531011.3511505,942,4.0
1680531019.483967,949,4.0
1680531026.734681,955,4.0
1680531036.2237728,963,4.0
1680531055.3357122,979,4.0
1680531059.1405582,982,4.0
1680531064.0065606,986,4.0
1680531071.4862401,992,4.0
1680531073.8671503,994,4.0
1680531080.0259247,999,4.0
1680531086.4418354,1002,6.0
1680531088.902671,1004,6.0
1680531102.5994291,1015,6.0
1680531111.1343124,1022,6.0
1680531116.0344713,1026,6.0
1680531118.3839762,1028,6.0
1680531128.2964172,1036,6.0
1680531129.4662097,1037,6.0
1680531152.7426722,1056,6.0
1680531157.6779022,1060,6.0
1680531170.1555676,1070,6.0
1680531171.4030638,1071,6.0
1680531173.7942026,1073,6.0
1680531178.4909935,1077,6.0
1680531189.0132763,1086,6.0
1680531202.9198735,1098,6.0
1680531207.7556536,1102,6.0
1680531210.1790726,1104,6.0
1680531213.7318351,1107,6.0
1680531216.0590708,1109,6.0
1680531218.463472,1111,6.0
1680531230.7075083,1121,6.0
1680531231.9324741,1122,6.0
1680531235.5162725,1125,6.0
1680531236.737703,1126,6.0
1680531240.4481003,1129,6.0
1680531243.9011414,1132,6.0
1680531246.1998441,1134,6.0
1680531252.0837502,1139,6.0
1680531260.499125,1146,6.0
1680531266.5985363,1151,6.0
1680531267.7823315,1152,6.0
1680531282.537495,1164,6.0
1680531294.6597238,1174,6.0
1680531297.2026668,1176,6.0
1680531298.416862,1177,6.0
1680531306.7640905,1184,6.0
1680531312.7446604,1189,6.0
1680531317.6217415,1193,6.0
1680531318.8543303,1194,6.0
1680531333.2859674,1206,6.0
1680531343.0468686,1214,6.0
1680531347.88416,1218,6.0
1680531354.1359115,1223,6.0
1680531356.554392,1225,6.0
1680531361.3428063,1229,6.0
1680531379.8135335,1244,6.0
1680531382.3140826,1246,6.0
1680531388.3539152,1251,6.0
1680531389.6687298,1252,6.0
1680531392.0000522,1254,6.0
1680531395.4720004,1257,6.0
1680531400.3622372,1261,6.0
1680531407.6598094,1267,6.0
1680531412.3470595,1271,6.0
1680531418.3765626,1276,6.0
1680531425.5941935,1282,6.0
1680531429.3014762,1285,6.0
1680531435.2582955,1290,6.0
1680531438.9681218,1293,6.0
1680531445.2230556,1298,6.0
1680531446.477051,1299,6.0
1680531450.013419,1302,6.0
1680531454.7813187,1306,6.0
1680531465.4947102,1315,6.0
1680531473.907528,1322,6.0
1680531477.5950696,1325,6.0
1680531478.7866054,1326,6.0
1680531489.7906368,1335,6.0
1680531502.0167193,1345,6.0
1680531505.5511966,1348,6.0
1680531512.6715455,1354,6.0
1680531519.6645753,1360,6.0
1680531524.401642,1364,6.0
1680531537.6049268,1375,6.0
1680531538.7584493,1376,6.0
1680531543.4635737,1380,6.0
1680531550.574536,1386,6.0
1680531555.295612,1390,6.0
1680531558.7536595,1393,6.0
1680531587.089526,1417,6.0
1680531610.5165293,1436,6.0
1680531612.9310658,1438,6.0
1680531614.0729795,1439,6.0
1680531615.2719796,1440,6.0
1680531626.8708882,1449,6.0
1680531636.9198356,1457,6.0
1680531638.126885,1458,6.0
1680531640.6170359,1460,6.0
1680531641.869021,1461,6.0
1680531658.4435802,1474,6.0
1680531660.9912038,1476,6.0
1680531674.5468986,1487,6.0
1680531678.3970702,1490,6.0
1680531683.3615746,1494,6.0
1680531688.3282516,1498,6.0
1680531696.207159,1502,8.0
1680531704.9673288,1509,8.0
1680531706.2757642,1510,8.0
1680531707.5489237,1511,8.0
1680531710.0391495,1513,8.0
1680531713.8410127,1516,8.0
1680531728.525506,1528,8.0
1680531736.086466,1534,8.0
1680531739.9292612,1537,8.0
1680531741.1717155,1538,8.0
1680531753.5862164,1548,8.0
1680531757.292817,1551,8.0
1680531771.3346574,1562,8.0
1680531775.1520119,1565,8.0
1680531778.937931,1568,8.0
1680531785.1870477,1573,8.0
1680531788.9189637,1576,8.0
1680531800.4429667,1585,8.0
1680531814.021435,1596,8.0
1680531820.2449389,1601,8.0
1680531822.7159154,1603,8.0
1680531852.93943,1627,8.0
1680531862.802756,1635,8.0
1680531865.2015202,1637,8.0
1680531868.940778,1640,8.0
1680531876.3304105,1646,8.0
1680531877.5730882,1647,8.0
1680531886.4617813,1654,8.0
1680531896.263332,1662,8.0
1680531901.1089993,1666,8.0
1680531906.0129445,1670,8.0
1680531910.918949,1674,8.0
1680531914.6509368,1677,8.0
1680531917.199584,1679,8.0
1680531924.6694927,1685,8.0
1680531935.948123,1694,8.0
1680531945.9997306,1702,8.0
1680531948.431691,1704,8.0
1680531952.111772,1707,8.0
1680531954.5507326,1709,8.0
1680531955.7396576,1710,8.0
